timestamp_utc,price_eur_per_mwh,timestamp_europe_berlin,delivery_date
2024-01-02T08:00:00Z,64.73,2024-01-02T09:00:00+01:00,2024-01-02
2024-01-02T09:00:00Z,68.98,2024-01-02T10:00:00+01:00,2024-01-02
2024-01-02T10:00:00Z,73.54,2024-01-02T11:00:00+01:00,2024-01-02
2024-01-02T11:00:00Z,78.16,2024-01-02T12:00:00+01:00,2024-01-02
2024-01-02T12:00:00Z,78.87,2024-01-02T13:00:00+01:00,2024-01-02
2024-01-02T13:00:00Z,79.24,2024-01-02T14:00:00+01:00,2024-01-02
2024-01-02T14:00:00Z,79.96,2024-01-02T15:00:00+01:00,2024-01-02
2024-01-02T15:00:00Z,83.46,2024-01-02T16:00:00+01:00,2024-01-02
2024-01-02T16:00:00Z,80.92,2024-01-02T17:00:00+01:00,2024-01-02
2024-01-02T17:00:00Z,74.95,2024-01-02T18:00:00+01:00,2024-01-02
2024-01-02T18:00:00Z,63.18,2024-01-02T19:00:00+01:00,2024-01-02
2024-01-02T19:00:00Z,57.11,2024-01-02T20:00:00+01:00,2024-01-02
2024-01-02T20:00:00Z,46.89,2024-01-02T21:00:00+01:00,2024-01-02
2024-01-02T21:00:00Z,40.0,2024-01-02T22:00:00+01:00,2024-01-02
2024-01-02T22:00:00Z,7.43,2024-01-02T23:00:00+01:00,2024-01-02
2024-01-02T23:00:00Z,-0.08,2024-01-03T00:00:00+01:00,2024-01-03
2024-01-03T00:00:00Z,-1.23,2024-01-03T01:00:00+01:00,2024-01-03
2024-01-03T01:00:00Z,-1.3,2024-01-03T02:00:00+01:00,2024-01-03
2024-01-03T02:00:00Z,-1.31,2024-01-03T03:00:00+01:00,2024-01-03
2024-01-03T03:00:00Z,-1.31,2024-01-03T04:00:00+01:00,2024-01-03
2024-01-03T04:00:00Z,-1.38,2024-01-03T05:00:00+01:00,2024-01-03
2024-01-03T05:00:00Z,1.09,2024-01-03T06:00:00+01:00,2024-01-03
2024-01-03T06:00:00Z,40.59,2024-01-03T07:00:00+01:00,2024-01-03
2024-01-03T07:00:00Z,59.61,2024-01-03T08:00:00+01:00,2024-01-03
2024-01-03T08:00:00Z,60.61,2024-01-03T09:00:00+01:00,2024-01-03
2024-01-03T09:00:00Z,57.0,2024-01-03T10:00:00+01:00,2024-01-03
2024-01-03T10:00:00Z,54.89,2024-01-03T11:00:00+01:00,2024-01-03
2024-01-03T11:00:00Z,53.89,2024-01-03T12:00:00+01:00,2024-01-03
2024-01-03T12:00:00Z,54.42,2024-01-03T13:00:00+01:00,2024-01-03
2024-01-03T13:00:00Z,60.86,2024-01-03T14:00:00+01:00,2024-01-03
2024-01-03T14:00:00Z,67.18,2024-01-03T15:00:00+01:00,2024-01-03
2024-01-03T15:00:00Z,73.59,2024-01-03T16:00:00+01:00,2024-01-03
2024-01-03T16:00:00Z,82.28,2024-01-03T17:00:00+01:00,2024-01-03
2024-01-03T17:00:00Z,82.97,2024-01-03T18:00:00+01:00,2024-01-03
2024-01-03T18:00:00Z,79.03,2024-01-03T19:00:00+01:00,2024-01-03
2024-01-03T19:00:00Z,73.23,2024-01-03T20:00:00+01:00,2024-01-03
2024-01-03T20:00:00Z,67.41,2024-01-03T21:00:00+01:00,2024-01-03
2024-01-03T21:00:00Z,65.0,2024-01-03T22:00:00+01:00,2024-01-03
2024-01-03T22:00:00Z,58.12,2024-01-03T23:00:00+01:00,2024-01-03
2024-01-03T23:00:00Z,57.3,2024-01-04T00:00:00+01:00,2024-01-04
2024-01-04T00:00:00Z,50.46,2024-01-04T01:00:00+01:00,2024-01-04
2024-01-04T01:00:00Z,40.0,2024-01-04T02:00:00+01:00,2024-01-04
2024-01-04T02:00:00Z,25.48,2024-01-04T03:00:00+01:00,2024-01-04
2024-01-04T03:00:00Z,35.0,2024-01-04T04:00:00+01:00,2024-01-04
2024-01-04T04:00:00Z,57.73,2024-01-04T05:00:00+01:00,2024-01-04
2024-01-04T05:00:00Z,72.65,2024-01-04T06:00:00+01:00,2024-01-04
2024-01-04T06:00:00Z,85.02,2024-01-04T07:00:00+01:00,2024-01-04
2024-01-04T07:00:00Z,91.47,2024-01-04T08:00:00+01:00,2024-01-04
2024-01-04T08:00:00Z,94.2,2024-01-04T09:00:00+01:00,2024-01-04
2024-01-04T09:00:00Z,91.61,2024-01-04T10:00:00+01:00,2024-01-04
2024-01-04T10:00:00Z,90.03,2024-01-04T11:00:00+01:00,2024-01-04
2024-01-04T11:00:00Z,86.3,2024-01-04T12:00:00+01:00,2024-01-04
2024-01-04T12:00:00Z,85.96,2024-01-04T13:00:00+01:00,2024-01-04
2024-01-04T13:00:00Z,92.11,2024-01-04T14:00:00+01:00,2024-01-04
2024-01-04T14:00:00Z,98.62,2024-01-04T15:00:00+01:00,2024-01-04
2024-01-04T15:00:00Z,105.73,2024-01-04T16:00:00+01:00,2024-01-04
2024-01-04T16:00:00Z,133.23,2024-01-04T17:00:00+01:00,2024-01-04
2024-01-04T17:00:00Z,144.65,2024-01-04T18:00:00+01:00,2024-01-04
2024-01-04T18:00:00Z,125.0,2024-01-04T19:00:00+01:00,2024-01-04
2024-01-04T19:00:00Z,103.59,2024-01-04T20:00:00+01:00,2024-01-04
2024-01-04T20:00:00Z,100.01,2024-01-04T21:00:00+01:00,2024-01-04
2024-01-04T21:00:00Z,94.86,2024-01-04T22:00:00+01:00,2024-01-04
2024-01-04T22:00:00Z,88.83,2024-01-04T23:00:00+01:00,2024-01-04
2024-01-04T23:00:00Z,86.08,2024-01-05T00:00:00+01:00,2024-01-05
2024-01-05T00:00:00Z,80.51,2024-01-05T01:00:00+01:00,2024-01-05
2024-01-05T01:00:00Z,77.01,2024-01-05T02:00:00+01:00,2024-01-05
2024-01-05T02:00:00Z,73.21,2024-01-05T03:00:00+01:00,2024-01-05
2024-01-05T03:00:00Z,74.05,2024-01-05T04:00:00+01:00,2024-01-05
2024-01-05T04:00:00Z,76.03,2024-01-05T05:00:00+01:00,2024-01-05
2024-01-05T05:00:00Z,81.0,2024-01-05T06:00:00+01:00,2024-01-05
2024-01-05T06:00:00Z,87.0,2024-01-05T07:00:00+01:00,2024-01-05
2024-01-05T07:00:00Z,89.57,2024-01-05T08:00:00+01:00,2024-01-05
2024-01-05T08:00:00Z,94.93,2024-01-05T09:00:00+01:00,2024-01-05
2024-01-05T09:00:00Z,96.28,2024-01-05T10:00:00+01:00,2024-01-05
2024-01-05T10:00:00Z,98.22,2024-01-05T11:00:00+01:00,2024-01-05
2024-01-05T11:00:00Z,92.24,2024-01-05T12:00:00+01:00,2024-01-05
2024-01-05T12:00:00Z,91.54,2024-01-05T13:00:00+01:00,2024-01-05
2024-01-05T13:00:00Z,96.41,2024-01-05T14:00:00+01:00,2024-01-05
2024-01-05T14:00:00Z,100.05,2024-01-05T15:00:00+01:00,2024-01-05
2024-01-05T15:00:00Z,102.97,2024-01-05T16:00:00+01:00,2024-01-05
2024-01-05T16:00:00Z,107.38,2024-01-05T17:00:00+01:00,2024-01-05
2024-01-05T17:00:00Z,108.45,2024-01-05T18:00:00+01:00,2024-01-05
2024-01-05T18:00:00Z,103.96,2024-01-05T19:00:00+01:00,2024-01-05
2024-01-05T19:00:00Z,100.09,2024-01-05T20:00:00+01:00,2024-01-05
2024-01-05T20:00:00Z,94.19,2024-01-05T21:00:00+01:00,2024-01-05
2024-01-05T21:00:00Z,94.92,2024-01-05T22:00:00+01:00,2024-01-05
2024-01-05T22:00:00Z,86.8,2024-01-05T23:00:00+01:00,2024-01-05
2024-01-05T23:00:00Z,82.25,2024-01-06T00:00:00+01:00,2024-01-06
2024-01-06T00:00:00Z,80.2,2024-01-06T01:00:00+01:00,2024-01-06
2024-01-06T01:00:00Z,76.13,2024-01-06T02:00:00+01:00,2024-01-06
2024-01-06T02:00:00Z,73.01,2024-01-06T03:00:00+01:00,2024-01-06
2024-01-06T03:00:00Z,73.01,2024-01-06T04:00:00+01:00,2024-01-06
2024-01-06T04:00:00Z,74.59,2024-01-06T05:00:00+01:00,2024-01-06
2024-01-06T05:00:00Z,75.1,2024-01-06T06:00:00+01:00,2024-01-06
2024-01-06T06:00:00Z,81.39,2024-01-06T07:00:00+01:00,2024-01-06
2024-01-06T07:00:00Z,88.4,2024-01-06T08:00:00+01:00,2024-01-06
2024-01-06T08:00:00Z,92.23,2024-01-06T09:00:00+01:00,2024-01-06
2024-01-06T09:00:00Z,97.3,2024-01-06T10:00:00+01:00,2024-01-06
2024-01-06T10:00:00Z,100.43,2024-01-06T11:00:00+01:00,2024-01-06
2024-01-06T11:00:00Z,99.16,2024-01-06T12:00:00+01:00,2024-01-06
2024-01-06T12:00:00Z,95.22,2024-01-06T13:00:00+01:00,2024-01-06
2024-01-06T13:00:00Z,92.55,2024-01-06T14:00:00+01:00,2024-01-06
2024-01-06T14:00:00Z,95.09,2024-01-06T15:00:00+01:00,2024-01-06
2024-01-06T15:00:00Z,99.85,2024-01-06T16:00:00+01:00,2024-01-06
2024-01-06T16:00:00Z,104.27,2024-01-06T17:00:00+01:00,2024-01-06
2024-01-06T17:00:00Z,103.63,2024-01-06T18:00:00+01:00,2024-01-06
2024-01-06T18:00:00Z,99.0,2024-01-06T19:00:00+01:00,2024-01-06
2024-01-06T19:00:00Z,92.14,2024-01-06T20:00:00+01:00,2024-01-06
2024-01-06T20:00:00Z,88.0,2024-01-06T21:00:00+01:00,2024-01-06
2024-01-06T21:00:00Z,86.57,2024-01-06T22:00:00+01:00,2024-01-06
2024-01-06T22:00:00Z,79.87,2024-01-06T23:00:00+01:00,2024-01-06
2024-01-06T23:00:00Z,84.08,2024-01-07T00:00:00+01:00,2024-01-07
2024-01-07T00:00:00Z,79.82,2024-01-07T01:00:00+01:00,2024-01-07
2024-01-07T01:00:00Z,76.76,2024-01-07T02:00:00+01:00,2024-01-07
2024-01-07T02:00:00Z,73.46,2024-01-07T03:00:00+01:00,2024-01-07
2024-01-07T03:00:00Z,71.86,2024-01-07T04:00:00+01:00,2024-01-07
2024-01-07T04:00:00Z,72.08,2024-01-07T05:00:00+01:00,2024-01-07
2024-01-07T05:00:00Z,74.9,2024-01-07T06:00:00+01:00,2024-01-07
2024-01-07T06:00:00Z,77.69,2024-01-07T07:00:00+01:00,2024-01-07
2024-01-07T07:00:00Z,81.79,2024-01-07T08:00:00+01:00,2024-01-07
2024-01-07T08:00:00Z,84.86,2024-01-07T09:00:00+01:00,2024-01-07
2024-01-07T09:00:00Z,87.15,2024-01-07T10:00:00+01:00,2024-01-07
2024-01-07T10:00:00Z,89.14,2024-01-07T11:00:00+01:00,2024-01-07
2024-01-07T11:00:00Z,88.66,2024-01-07T12:00:00+01:00,2024-01-07
2024-01-07T12:00:00Z,84.81,2024-01-07T13:00:00+01:00,2024-01-07
2024-01-07T13:00:00Z,84.34,2024-01-07T14:00:00+01:00,2024-01-07
2024-01-07T14:00:00Z,88.01,2024-01-07T15:00:00+01:00,2024-01-07
2024-01-07T15:00:00Z,93.42,2024-01-07T16:00:00+01:00,2024-01-07
2024-01-07T16:00:00Z,101.77,2024-01-07T17:00:00+01:00,2024-01-07
2024-01-07T17:00:00Z,104.85,2024-01-07T18:00:00+01:00,2024-01-07
2024-01-07T18:00:00Z,103.55,2024-01-07T19:00:00+01:00,2024-01-07
2024-01-07T19:00:00Z,100.5,2024-01-07T20:00:00+01:00,2024-01-07
2024-01-07T20:00:00Z,93.31,2024-01-07T21:00:00+01:00,2024-01-07
2024-01-07T21:00:00Z,91.17,2024-01-07T22:00:00+01:00,2024-01-07
2024-01-07T22:00:00Z,83.86,2024-01-07T23:00:00+01:00,2024-01-07
2024-01-07T23:00:00Z,87.02,2024-01-08T00:00:00+01:00,2024-01-08
2024-01-08T00:00:00Z,84.32,2024-01-08T01:00:00+01:00,2024-01-08
2024-01-08T01:00:00Z,81.82,2024-01-08T02:00:00+01:00,2024-01-08
2024-01-08T02:00:00Z,79.11,2024-01-08T03:00:00+01:00,2024-01-08
2024-01-08T03:00:00Z,78.48,2024-01-08T04:00:00+01:00,2024-01-08
2024-01-08T04:00:00Z,82.1,2024-01-08T05:00:00+01:00,2024-01-08
2024-01-08T05:00:00Z,94.3,2024-01-08T06:00:00+01:00,2024-01-08
2024-01-08T06:00:00Z,111.1,2024-01-08T07:00:00+01:00,2024-01-08
2024-01-08T07:00:00Z,121.11,2024-01-08T08:00:00+01:00,2024-01-08
2024-01-08T08:00:00Z,117.83,2024-01-08T09:00:00+01:00,2024-01-08
2024-01-08T09:00:00Z,110.6,2024-01-08T10:00:00+01:00,2024-01-08
2024-01-08T10:00:00Z,103.0,2024-01-08T11:00:00+01:00,2024-01-08
2024-01-08T11:00:00Z,95.5,2024-01-08T12:00:00+01:00,2024-01-08
2024-01-08T12:00:00Z,92.6,2024-01-08T13:00:00+01:00,2024-01-08
2024-01-08T13:00:00Z,100.0,2024-01-08T14:00:00+01:00,2024-01-08
2024-01-08T14:00:00Z,107.98,2024-01-08T15:00:00+01:00,2024-01-08
2024-01-08T15:00:00Z,116.87,2024-01-08T16:00:00+01:00,2024-01-08
2024-01-08T16:00:00Z,129.13,2024-01-08T17:00:00+01:00,2024-01-08
2024-01-08T17:00:00Z,130.01,2024-01-08T18:00:00+01:00,2024-01-08
2024-01-08T18:00:00Z,122.12,2024-01-08T19:00:00+01:00,2024-01-08
2024-01-08T19:00:00Z,114.21,2024-01-08T20:00:00+01:00,2024-01-08
2024-01-08T20:00:00Z,102.83,2024-01-08T21:00:00+01:00,2024-01-08
2024-01-08T21:00:00Z,99.98,2024-01-08T22:00:00+01:00,2024-01-08
2024-01-08T22:00:00Z,91.49,2024-01-08T23:00:00+01:00,2024-01-08
2024-01-08T23:00:00Z,88.16,2024-01-09T00:00:00+01:00,2024-01-09
2024-01-09T00:00:00Z,87.04,2024-01-09T01:00:00+01:00,2024-01-09
2024-01-09T01:00:00Z,85.0,2024-01-09T02:00:00+01:00,2024-01-09
2024-01-09T02:00:00Z,84.14,2024-01-09T03:00:00+01:00,2024-01-09
2024-01-09T03:00:00Z,85.72,2024-01-09T04:00:00+01:00,2024-01-09
2024-01-09T04:00:00Z,89.28,2024-01-09T05:00:00+01:00,2024-01-09
2024-01-09T05:00:00Z,108.51,2024-01-09T06:00:00+01:00,2024-01-09
2024-01-09T06:00:00Z,124.06,2024-01-09T07:00:00+01:00,2024-01-09
2024-01-09T07:00:00Z,133.24,2024-01-09T08:00:00+01:00,2024-01-09
2024-01-09T08:00:00Z,120.91,2024-01-09T09:00:00+01:00,2024-01-09
2024-01-09T09:00:00Z,113.19,2024-01-09T10:00:00+01:00,2024-01-09
2024-01-09T10:00:00Z,105.78,2024-01-09T11:00:00+01:00,2024-01-09
2024-01-09T11:00:00Z,100.22,2024-01-09T12:00:00+01:00,2024-01-09
2024-01-09T12:00:00Z,100.82,2024-01-09T13:00:00+01:00,2024-01-09
2024-01-09T13:00:00Z,110.89,2024-01-09T14:00:00+01:00,2024-01-09
2024-01-09T14:00:00Z,119.4,2024-01-09T15:00:00+01:00,2024-01-09
2024-01-09T15:00:00Z,127.85,2024-01-09T16:00:00+01:00,2024-01-09
2024-01-09T16:00:00Z,137.84,2024-01-09T17:00:00+01:00,2024-01-09
2024-01-09T17:00:00Z,137.8,2024-01-09T18:00:00+01:00,2024-01-09
2024-01-09T18:00:00Z,130.43,2024-01-09T19:00:00+01:00,2024-01-09
2024-01-09T19:00:00Z,120.24,2024-01-09T20:00:00+01:00,2024-01-09
2024-01-09T20:00:00Z,111.68,2024-01-09T21:00:00+01:00,2024-01-09
2024-01-09T21:00:00Z,106.18,2024-01-09T22:00:00+01:00,2024-01-09
2024-01-09T22:00:00Z,97.09,2024-01-09T23:00:00+01:00,2024-01-09
2024-01-09T23:00:00Z,89.29,2024-01-10T00:00:00+01:00,2024-01-10
2024-01-10T00:00:00Z,86.76,2024-01-10T01:00:00+01:00,2024-01-10
2024-01-10T01:00:00Z,86.73,2024-01-10T02:00:00+01:00,2024-01-10
2024-01-10T02:00:00Z,86.09,2024-01-10T03:00:00+01:00,2024-01-10
2024-01-10T03:00:00Z,86.3,2024-01-10T04:00:00+01:00,2024-01-10
2024-01-10T04:00:00Z,89.05,2024-01-10T05:00:00+01:00,2024-01-10
2024-01-10T05:00:00Z,108.88,2024-01-10T06:00:00+01:00,2024-01-10
2024-01-10T06:00:00Z,126.29,2024-01-10T07:00:00+01:00,2024-01-10
2024-01-10T07:00:00Z,141.28,2024-01-10T08:00:00+01:00,2024-01-10
2024-01-10T08:00:00Z,130.39,2024-01-10T09:00:00+01:00,2024-01-10
2024-01-10T09:00:00Z,118.56,2024-01-10T10:00:00+01:00,2024-01-10
2024-01-10T10:00:00Z,109.13,2024-01-10T11:00:00+01:00,2024-01-10
2024-01-10T11:00:00Z,102.21,2024-01-10T12:00:00+01:00,2024-01-10
2024-01-10T12:00:00Z,105.61,2024-01-10T13:00:00+01:00,2024-01-10
2024-01-10T13:00:00Z,112.91,2024-01-10T14:00:00+01:00,2024-01-10
2024-01-10T14:00:00Z,123.8,2024-01-10T15:00:00+01:00,2024-01-10
2024-01-10T15:00:00Z,134.64,2024-01-10T16:00:00+01:00,2024-01-10
2024-01-10T16:00:00Z,143.79,2024-01-10T17:00:00+01:00,2024-01-10
2024-01-10T17:00:00Z,140.0,2024-01-10T18:00:00+01:00,2024-01-10
2024-01-10T18:00:00Z,132.15,2024-01-10T19:00:00+01:00,2024-01-10
2024-01-10T19:00:00Z,120.0,2024-01-10T20:00:00+01:00,2024-01-10
2024-01-10T20:00:00Z,109.76,2024-01-10T21:00:00+01:00,2024-01-10
2024-01-10T21:00:00Z,104.49,2024-01-10T22:00:00+01:00,2024-01-10
2024-01-10T22:00:00Z,96.03,2024-01-10T23:00:00+01:00,2024-01-10
2024-01-10T23:00:00Z,91.75,2024-01-11T00:00:00+01:00,2024-01-11
2024-01-11T00:00:00Z,88.59,2024-01-11T01:00:00+01:00,2024-01-11
2024-01-11T01:00:00Z,87.25,2024-01-11T02:00:00+01:00,2024-01-11
2024-01-11T02:00:00Z,82.38,2024-01-11T03:00:00+01:00,2024-01-11
2024-01-11T03:00:00Z,81.95,2024-01-11T04:00:00+01:00,2024-01-11
2024-01-11T04:00:00Z,89.36,2024-01-11T05:00:00+01:00,2024-01-11
2024-01-11T05:00:00Z,102.07,2024-01-11T06:00:00+01:00,2024-01-11
2024-01-11T06:00:00Z,116.86,2024-01-11T07:00:00+01:00,2024-01-11
2024-01-11T07:00:00Z,141.0,2024-01-11T08:00:00+01:00,2024-01-11
2024-01-11T08:00:00Z,129.16,2024-01-11T09:00:00+01:00,2024-01-11
2024-01-11T09:00:00Z,113.65,2024-01-11T10:00:00+01:00,2024-01-11
2024-01-11T10:00:00Z,106.48,2024-01-11T11:00:00+01:00,2024-01-11
2024-01-11T11:00:00Z,99.38,2024-01-11T12:00:00+01:00,2024-01-11
2024-01-11T12:00:00Z,99.0,2024-01-11T13:00:00+01:00,2024-01-11
2024-01-11T13:00:00Z,105.98,2024-01-11T14:00:00+01:00,2024-01-11
2024-01-11T14:00:00Z,117.96,2024-01-11T15:00:00+01:00,2024-01-11
2024-01-11T15:00:00Z,137.35,2024-01-11T16:00:00+01:00,2024-01-11
2024-01-11T16:00:00Z,150.09,2024-01-11T17:00:00+01:00,2024-01-11
2024-01-11T17:00:00Z,136.69,2024-01-11T18:00:00+01:00,2024-01-11
2024-01-11T18:00:00Z,132.31,2024-01-11T19:00:00+01:00,2024-01-11
2024-01-11T19:00:00Z,117.88,2024-01-11T20:00:00+01:00,2024-01-11
2024-01-11T20:00:00Z,107.19,2024-01-11T21:00:00+01:00,2024-01-11
2024-01-11T21:00:00Z,100.0,2024-01-11T22:00:00+01:00,2024-01-11
2024-01-11T22:00:00Z,97.22,2024-01-11T23:00:00+01:00,2024-01-11
2024-01-11T23:00:00Z,91.04,2024-01-12T00:00:00+01:00,2024-01-12
2024-01-12T00:00:00Z,88.22,2024-01-12T01:00:00+01:00,2024-01-12
2024-01-12T01:00:00Z,85.22,2024-01-12T02:00:00+01:00,2024-01-12
2024-01-12T02:00:00Z,84.63,2024-01-12T03:00:00+01:00,2024-01-12
2024-01-12T03:00:00Z,84.34,2024-01-12T04:00:00+01:00,2024-01-12
2024-01-12T04:00:00Z,85.32,2024-01-12T05:00:00+01:00,2024-01-12
2024-01-12T05:00:00Z,92.11,2024-01-12T06:00:00+01:00,2024-01-12
2024-01-12T06:00:00Z,118.16,2024-01-12T07:00:00+01:00,2024-01-12
2024-01-12T07:00:00Z,140.74,2024-01-12T08:00:00+01:00,2024-01-12
2024-01-12T08:00:00Z,134.96,2024-01-12T09:00:00+01:00,2024-01-12
2024-01-12T09:00:00Z,122.01,2024-01-12T10:00:00+01:00,2024-01-12
2024-01-12T10:00:00Z,114.73,2024-01-12T11:00:00+01:00,2024-01-12
2024-01-12T11:00:00Z,106.98,2024-01-12T12:00:00+01:00,2024-01-12
2024-01-12T12:00:00Z,103.08,2024-01-12T13:00:00+01:00,2024-01-12
2024-01-12T13:00:00Z,104.54,2024-01-12T14:00:00+01:00,2024-01-12
2024-01-12T14:00:00Z,110.0,2024-01-12T15:00:00+01:00,2024-01-12
2024-01-12T15:00:00Z,120.0,2024-01-12T16:00:00+01:00,2024-01-12
2024-01-12T16:00:00Z,127.5,2024-01-12T17:00:00+01:00,2024-01-12
2024-01-12T17:00:00Z,126.0,2024-01-12T18:00:00+01:00,2024-01-12
2024-01-12T18:00:00Z,119.47,2024-01-12T19:00:00+01:00,2024-01-12
2024-01-12T19:00:00Z,108.79,2024-01-12T20:00:00+01:00,2024-01-12
2024-01-12T20:00:00Z,98.48,2024-01-12T21:00:00+01:00,2024-01-12
2024-01-12T21:00:00Z,93.37,2024-01-12T22:00:00+01:00,2024-01-12
2024-01-12T22:00:00Z,85.38,2024-01-12T23:00:00+01:00,2024-01-12
2024-01-12T23:00:00Z,90.0,2024-01-13T00:00:00+01:00,2024-01-13
2024-01-13T00:00:00Z,85.0,2024-01-13T01:00:00+01:00,2024-01-13
2024-01-13T01:00:00Z,82.0,2024-01-13T02:00:00+01:00,2024-01-13
2024-01-13T02:00:00Z,78.47,2024-01-13T03:00:00+01:00,2024-01-13
2024-01-13T03:00:00Z,75.0,2024-01-13T04:00:00+01:00,2024-01-13
2024-01-13T04:00:00Z,74.92,2024-01-13T05:00:00+01:00,2024-01-13
2024-01-13T05:00:00Z,78.1,2024-01-13T06:00:00+01:00,2024-01-13
2024-01-13T06:00:00Z,82.22,2024-01-13T07:00:00+01:00,2024-01-13
2024-01-13T07:00:00Z,85.26,2024-01-13T08:00:00+01:00,2024-01-13
2024-01-13T08:00:00Z,75.11,2024-01-13T09:00:00+01:00,2024-01-13
2024-01-13T09:00:00Z,74.21,2024-01-13T10:00:00+01:00,2024-01-13
2024-01-13T10:00:00Z,72.72,2024-01-13T11:00:00+01:00,2024-01-13
2024-01-13T11:00:00Z,70.35,2024-01-13T12:00:00+01:00,2024-01-13
2024-01-13T12:00:00Z,63.67,2024-01-13T13:00:00+01:00,2024-01-13
2024-01-13T13:00:00Z,67.91,2024-01-13T14:00:00+01:00,2024-01-13
2024-01-13T14:00:00Z,68.61,2024-01-13T15:00:00+01:00,2024-01-13
2024-01-13T15:00:00Z,70.78,2024-01-13T16:00:00+01:00,2024-01-13
2024-01-13T16:00:00Z,74.22,2024-01-13T17:00:00+01:00,2024-01-13
2024-01-13T17:00:00Z,75.81,2024-01-13T18:00:00+01:00,2024-01-13
2024-01-13T18:00:00Z,73.82,2024-01-13T19:00:00+01:00,2024-01-13
2024-01-13T19:00:00Z,73.06,2024-01-13T20:00:00+01:00,2024-01-13
2024-01-13T20:00:00Z,70.93,2024-01-13T21:00:00+01:00,2024-01-13
2024-01-13T21:00:00Z,64.3,2024-01-13T22:00:00+01:00,2024-01-13
2024-01-13T22:00:00Z,63.16,2024-01-13T23:00:00+01:00,2024-01-13
2024-01-13T23:00:00Z,64.02,2024-01-14T00:00:00+01:00,2024-01-14
2024-01-14T00:00:00Z,62.11,2024-01-14T01:00:00+01:00,2024-01-14
2024-01-14T01:00:00Z,62.93,2024-01-14T02:00:00+01:00,2024-01-14
2024-01-14T02:00:00Z,64.01,2024-01-14T03:00:00+01:00,2024-01-14
2024-01-14T03:00:00Z,64.67,2024-01-14T04:00:00+01:00,2024-01-14
2024-01-14T04:00:00Z,65.2,2024-01-14T05:00:00+01:00,2024-01-14
2024-01-14T05:00:00Z,67.31,2024-01-14T06:00:00+01:00,2024-01-14
2024-01-14T06:00:00Z,71.66,2024-01-14T07:00:00+01:00,2024-01-14
2024-01-14T07:00:00Z,76.74,2024-01-14T08:00:00+01:00,2024-01-14
2024-01-14T08:00:00Z,81.14,2024-01-14T09:00:00+01:00,2024-01-14
2024-01-14T09:00:00Z,80.63,2024-01-14T10:00:00+01:00,2024-01-14
